step,lr,train_loss,val_loss,tokens_per_sec
711,1.068e-04,4.9294,,
712,1.069e-04,4.9379,,
713,1.071e-04,4.9363,,
714,1.072e-04,4.9320,,
715,1.074e-04,4.9201,,
716,1.075e-04,4.9190,,
717,1.077e-04,4.9471,,
718,1.078e-04,4.9389,,
719,1.080e-04,4.9150,,
720,1.081e-04,4.9266,,
721,1.083e-04,4.8930,,
722,1.084e-04,4.9030,,
723,1.086e-04,4.9016,,
724,1.087e-04,4.9028,,
725,1.089e-04,4.8935,,
726,1.090e-04,4.8837,,
727,1.092e-04,4.8920,,
728,1.093e-04,4.8819,,
729,1.095e-04,4.8877,,
730,1.096e-04,4.8800,,
731,1.098e-04,4.8668,,
732,1.099e-04,4.8554,,
733,1.101e-04,4.8874,,
734,1.102e-04,4.8561,,
735,1.104e-04,4.9311,,
736,1.105e-04,4.8654,,
737,1.107e-04,4.8575,,
738,1.108e-04,4.8686,,
739,1.110e-04,4.8497,,
740,1.111e-04,4.8626,,
741,1.113e-04,4.8289,,
742,1.114e-04,4.8525,,
743,1.116e-04,4.8477,,
744,1.117e-04,4.8415,,
745,1.119e-04,4.8599,,
746,1.120e-04,4.8668,,
747,1.122e-04,4.8216,,
748,1.123e-04,4.8095,,
749,1.125e-04,4.8364,,
750,1.126e-04,4.7833,,
751,1.128e-04,4.8289,,
752,1.129e-04,4.8125,,
753,1.131e-04,4.8226,,
754,1.132e-04,4.8117,,
755,1.134e-04,4.8032,,
756,1.135e-04,4.7984,,
757,1.137e-04,4.7732,,
758,1.138e-04,4.8399,,
759,1.140e-04,4.7333,,
760,1.141e-04,4.7786,,
761,1.143e-04,4.7692,,
762,1.144e-04,4.8003,,
763,1.146e-04,4.7811,,
764,1.147e-04,4.7759,,
765,1.149e-04,4.7704,,
766,1.150e-04,4.7321,,
767,1.152e-04,4.7814,,
768,1.153e-04,4.7533,,
769,1.155e-04,4.7600,,
770,1.156e-04,4.7256,,
771,1.158e-04,4.7531,,
772,1.159e-04,4.7223,,
773,1.161e-04,4.7600,,
774,1.162e-04,4.7768,,
775,1.164e-04,4.7617,,
776,1.165e-04,4.7384,,
777,1.167e-04,4.7720,,
778,1.168e-04,4.8177,,
779,1.170e-04,4.7666,,
780,1.171e-04,4.7251,,
781,1.173e-04,4.7535,,
782,1.174e-04,4.7623,,
783,1.176e-04,4.7503,,
784,1.177e-04,4.7464,,
785,1.179e-04,4.7461,,
786,1.180e-04,4.7316,,
787,1.182e-04,4.7082,,
788,1.183e-04,4.7156,,
789,1.185e-04,4.7244,,
790,1.186e-04,4.7354,,
791,1.188e-04,4.7535,,
792,1.189e-04,4.7253,,
793,1.191e-04,4.6702,,
794,1.192e-04,4.6836,,
795,1.194e-04,4.7168,,
796,1.195e-04,4.7056,,
797,1.197e-04,4.7046,,
798,1.198e-04,4.6981,,
799,1.200e-04,4.7053,,
800,1.201e-04,4.6770,4.606647634506226,
801,1.203e-04,4.7030,,
802,1.204e-04,4.7249,,
803,1.206e-04,4.6973,,
804,1.207e-04,4.7037,,
805,1.209e-04,4.6999,,
806,1.210e-04,4.6559,,
807,1.212e-04,4.6544,,
808,1.213e-04,4.6677,,
809,1.215e-04,4.6845,,
810,1.216e-04,4.7154,,
811,1.218e-04,4.6880,,
812,1.219e-04,4.6286,,
813,1.221e-04,4.6780,,
814,1.222e-04,4.6957,,
815,1.224e-04,4.6603,,
816,1.225e-04,4.6304,,
817,1.227e-04,4.6467,,
818,1.228e-04,4.5815,,
819,1.230e-04,4.6755,,
820,1.231e-04,4.6417,,
821,1.233e-04,4.6182,,
822,1.234e-04,4.6333,,
823,1.236e-04,4.6632,,
824,1.237e-04,4.6287,,
825,1.239e-04,4.6513,,
826,1.241e-04,4.6460,,
827,1.242e-04,4.6019,,
828,1.243e-04,4.6590,,
829,1.245e-04,4.6083,,
830,1.246e-04,4.6067,,
831,1.248e-04,4.6409,,
832,1.250e-04,4.6114,,
833,1.251e-04,4.6267,,
834,1.253e-04,4.6171,,
835,1.254e-04,4.6306,,
836,1.255e-04,4.5989,,
837,1.257e-04,4.6278,,
838,1.258e-04,4.6126,,
839,1.260e-04,4.6084,,
840,1.261e-04,4.6150,,
841,1.263e-04,4.5611,,
842,1.264e-04,4.6039,,
843,1.266e-04,4.6502,,
844,1.267e-04,4.6122,,
845,1.269e-04,4.6488,,
846,1.270e-04,4.5862,,
847,1.272e-04,4.5574,,
848,1.273e-04,4.5901,,
849,1.275e-04,4.5487,,
850,1.276e-04,4.5598,,
851,1.278e-04,4.5799,,
852,1.279e-04,4.5659,,
853,1.281e-04,4.6034,,
854,1.282e-04,4.5448,,
855,1.284e-04,4.5501,,
856,1.286e-04,4.5549,,
857,1.287e-04,4.5793,,
858,1.288e-04,4.5380,,
859,1.290e-04,4.5331,,
860,1.291e-04,4.5426,,
861,1.293e-04,4.5908,,
862,1.294e-04,4.5721,,
863,1.296e-04,4.5809,,
864,1.297e-04,4.5598,,
